Cm,Ch,Bm,Bh,T,sR,sG,sB,L,A,B
0.0425,0.32,0,0.75,0.25,160,111,102,51.7244382155052,18.659661454720087,12.619553316446197
0.0425,0.32,0,0.8,0.25,159,112,101,51.92315249264466,17.136849220870552,13.82256397208661
0.0425,0.32,0,0.85,0.25,160,111,98,51.64236804720659,17.95969028288724,15.106875825046773
0.1,0.003,0,0.6,0.25,170,114,78,53.287702655107,18.34031156011512,28.849596585794057
0.1,0.003,0,0.65,0.25,170,115,76,53.42817202263241,17.491328148822927,30.208269908534756
0.1,0.003,0,0.75,0.25,170,114,76,53.3553032193597,17.574984457990272,29.819441057121676
0.1,0.003,0,0.8,0.25,170,115,77,53.44931036655679,17.735239720849506,29.42882990226221
0.1,0.003,0,0.85,0.25,171,115,78,53.528831493973414,18.084769255183264,29.250409915324838
0.1,0.02,0,0.6,0.25,165,94,73,47.89908557791135,26.51948683578803,24.879852071479213
0.1,0.02,0,0.65,0.25,165,92,77,47.505482749018356,28.046524774831216,21.952587494255194
0.1,0.02,0,0.75,0.25,163,92,77,47.13743387742118,26.9711804905185,21.497016935292812
0.1,0.02,0,0.8,0.25,161,92,77,46.85841276318577,26.28333605753491,20.85309244993371
0.1,0.02,0,0.85,0.25,164,93,72,47.43291766292995,26.4996713113676,24.510815326459024
0.1,0.07,0,0.6,0.25,154,93,75,46.181203565002626,22.740259553289565,20.729757631917156
0.1,0.07,0,0.65,0.25,153,95,74,46.500233761346,21.439200269936787,21.882586348856382
0.1,0.07,0,0.75,0.25,154,92,75,45.92205371710923,23.70386383217632,20.508871526508077
0.1,0.07,0,0.8,0.25,153,94,76,46.26578944593395,21.830712541553886,20.63142397293215
0.1,0.07,0,0.85,0.25,158,92,73,46.25388266983251,25.20118715913805,22.161714551371425
0.1,0.16,0,0.6,0.25,138,87,70,42.353312745772826,19.200726358115983,18.505852616885733
0.1,0.16,0,0.65,0.25,139,85,71,42.00790754964386,20.90055696059817,17.623289471325954
0.1,0.16,0,0.75,0.25,141,86,71,42.57587831857537,21.204077285169877,18.16504815961909
0.1,0.16,0,0.8,0.25,145,86,70,42.98779293309735,22.717998453689493,19.654261719380507
0.1,0.16,0,0.85,0.25,143,85,72,42.48982090719402,22.62743069547951,17.832012586828228
0.1,0.32,0,0.6,0.25,127,86,80,40.9494297256122,16.473940724590825,10.518630842499732
0.1,0.32,0,0.65,0.25,129,85,79,40.847857312395234,17.567768530371232,10.862093109983617
0.1,0.32,0,0.75,0.25,136,81,79,40.838847710120724,22.746898389173374,10.89004351575995
0.1,0.32,0,0.8,0.25,135,85,75,41.65521200957387,19.728234981270493,14.15998986603293
0.1,0.32,0,0.85,0.25,137,83,77,41.37705108287223,21.75744529005852,13.118101252051062
0.185,0.003,0,0.6,0.25,135,84,55,41.040913465147106,17.737109716289055,25.86881083101883
0.185,0.003,0,0.65,0.25,137,84,52,41.29314208376476,18.340435670520627,27.477511670487363
0.185,0.003,0,0.75,0.25,137,83,51,41.003987556926205,19.468798795583968,28.02318599790966
0.185,0.003,0,0.8,0.25,138,83,54,41.10318032228395,20.04886133163572,26.278086501579743
0.185,0.003,0,0.85,0.25,138,83,51,41.15847496531876,19.546826651411497,28.310790983393197
0.185,0.02,0,0.6,0.25,129,75,54,38.01190416887338,20.785367309747755,22.37183440271153
0.185,0.02,0,0.65,0.25,133,75,52,38.53530044489713,22.105622177605255,24.20538268219059
0.185,0.02,0,0.75,0.25,132,74,53,37.97697629306772,22.482075814601544,23.074021101772935
0.185,0.02,0,0.8,0.25,133,74,53,38.21663074500794,22.91969942914987,23.002117421787162
0.185,0.02,0,0.85,0.25,131,75,54,38.2268985231167,21.613840693539693,22.809412091564553
0.185,0.07,0,0.6,0.25,115,67,58,34.12305200460136,19.698543509677148,14.359803593299203
0.185,0.07,0,0.65,0.25,116,65,58,33.846652410541665,21.314196679174447,14.226901998864472
0.185,0.07,0,0.75,0.25,118,66,60,34.28982227192451,21.580231838185444,13.523710936931476
0.185,0.07,0,0.8,0.25,118,67,59,34.671433594550095,20.88162422925163,14.469739318503782
