,Cm,Ch,Bm,Bh,T,sR,sG,sB
Cm,0.029348616418446674,-5.04473768048125e-19,-1.0609813083980692e-17,8.48721590898575e-20,0.0,-8.934106652949243,-6.9456052812071345,-6.675840763603107
Ch,-5.04473768048125e-19,0.0135317329675354,4.886098130780581e-19,8.328576359285082e-20,0.0,-1.449766803840878,-0.915904892546868,-0.34870919067215345
Bm,-1.0609813083980692e-17,4.886098130780581e-19,0.12502857796067673,0.0,0.0,-3.4425011431184283,-1.5034865112025697,-0.7598879743941519
Bh,8.48721590898575e-20,8.328576359285082e-20,0.0,0.008601966163694533,0.0,0.10893918609967995,-0.023125285779606753,-0.009819387288523121
T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sR,-8.934106652949243,-1.449766803840878,-3.4425011431184283,0.10893918609967995,0.0,3601.476451760402,2827.767901234568,2706.3706904435303
sG,-6.9456052812071345,-0.915904892546868,-1.5034865112025697,-0.023125285779606753,0.0,2827.767901234568,2310.545605852766,2209.182085048011
sB,-6.675840763603107,-0.34870919067215345,-0.7598879743941519,-0.009819387288523121,0.0,2706.3706904435303,2209.182085048011,2244.722524005487
