Cm,Ch,Bm,Bh,T,sR,sG,sB,L,A,B
0.002,0.003,0.6663,0.5,0.1833,250.304,212.044,187.01,87.52102530741308,9.701517747334687,17.352612172092318
0.002,0.003,0.6663,0.5,0.3167,251.144,213.449,191.19,88.02503494803364,9.856827585378314,15.875837934878811
0.002,0.003,0.6663,0.5,0.45,252.035,214.835,192.92,88.47728168090624,9.705193693438641,15.616948826077648
0.002,0.003,0.6663,0.999,0.05,250.72,211.677,182.51,87.37714335778554,9.442486161192477,19.517169116664924
0.002,0.003,0.6663,0.999,0.1833,251.22,212.972,186.98,87.8279565389657,9.555526236457778,17.80846477509259
0.002,0.003,0.6663,0.999,0.3167,251.932,213.706,190.4,88.14119861196949,9.904013902781228,16.464575549620044
0.002,0.003,0.6663,0.999,0.45,252.47,215.209,192.96,88.60764242031017,9.676331213944177,15.785165785110667
0.002,0.003,0.999,0.001,0.05,248.069,208.639,180.84,86.36494086054223,9.809839072246696,18.952427106067326
0.002,0.003,0.999,0.001,0.1833,248.83,210.326,187.84,86.9887794239289,10.163429178009997,16.15193692835726
0.002,0.003,0.999,0.001,0.3167,249.235,211.053,190.96,87.26801842507692,10.368395232665307,14.905100810765548
0.002,0.003,0.999,0.001,0.45,249.439,212.193,193.66,87.62114882751673,10.230501205447663,13.985872977336221
0.002,0.003,0.999,0.5,0.05,248.824,209.378,181.45,86.6256130774629,9.788474250958467,19.003737220945172
0.002,0.003,0.999,0.5,0.1833,249.088,211.635,186.88,87.30990431622868,9.447280407804183,17.107766676317524
0.002,0.003,0.999,0.5,0.3167,249.334,212.128,190.36,87.5251423974412,9.762001949698284,15.584621341287551
0.002,0.003,0.999,0.5,0.45,250.086,213.129,191.24,87.85394584646983,9.641175777179544,15.59557441078483
0.002,0.003,0.999,0.999,0.05,249.586,210.517,181.68,86.97596984883468,9.51105515963696,19.382952425747124
0.002,0.003,0.999,0.999,0.1833,250.761,211.889,187.34,87.53153078860866,9.995931327654029,17.20044465970463
0.002,0.003,0.999,0.999,0.3167,250.148,213.005,189.78,87.7984117009005,9.524974457358448,16.28705864479123
0.002,0.003,0.999,0.999,0.45,250.462,213.707,192.19,88.04799068718953,9.611605801448375,15.37453748700841
0.002,0.0072,0.001,0.001,0.05,239.124,190.276,169.61,80.85197601235546,14.596888297099264,17.08989817463522
0.002,0.0072,0.001,0.001,0.1833,242.803,195.869,179.81,82.76701854251228,14.39278953589035,14.38557140431076
