Cm,Ch,Bm,Bh,T,sR,sG,sB,L,A,B
0.0135,0.07,0.01,0.6,0.25,200,145,126,65.05317612345407,18.481780098111024,18.06163347514278
0.0135,0.07,0.01,0.65,0.25,204,142,129,64.84219636779139,21.950174644949026,15.970366887092213
0.0135,0.07,0.01,0.75,0.25,205,141,134,65.01740614432661,23.348138843171327,13.604196797317725
0.0135,0.07,0.01,0.8,0.25,203,142,135,65.0948864987428,22.022564851889804,12.902527472461522
0.0135,0.07,0.01,0.85,0.25,204,140,135,64.56410987783346,23.72847191485461,12.348750422833277
0.0135,0.16,0.01,0.6,0.25,181,127,131,58.83304454207817,21.294395771089103,6.085704764514666
0.0135,0.16,0.01,0.65,0.25,183,125,133,58.63722769500485,23.54162493686185,4.705520385824502
0.0135,0.16,0.01,0.75,0.25,186,128,131,59.70384756216974,22.862040473304425,7.8196520863268
0.0135,0.16,0.01,0.8,0.25,188,125,133,59.146283789935595,25.81792964651608,5.408864015406878
0.0135,0.16,0.01,0.85,0.25,196,134,130,62.198694670956314,22.98319051348363,12.011156999116256
0.0135,0.32,0.01,0.6,0.25,169,121,126,55.98612930507986,19.401507415808094,4.689089421391879
0.0135,0.32,0.01,0.65,0.25,167,122,128,55.89313312864587,18.491552930330947,3.5587365750088473
0.0135,0.32,0.01,0.75,0.25,176,127,123,58.20223495253424,18.164346197061587,9.59034070262652
0.0135,0.32,0.01,0.8,0.25,178,125,124,57.764490672587414,20.523797104862794,8.770463976283605
0.0135,0.32,0.01,0.85,0.25,180,124,127,57.85019154422598,22.310919801988792,7.163896998781216
0.0425,0.003,0.01,0.6,0.25,211,156,114,68.92774460646406,15.074362462102975,30.111846930320873
0.0425,0.003,0.01,0.65,0.25,212,156,112,68.86902048363525,15.499010913708478,30.871648568054553
0.0425,0.003,0.01,0.75,0.25,212,156,115,68.8499904880972,15.88868382872749,29.649088056236252
0.0425,0.003,0.01,0.8,0.25,211,156,117,68.80442266905547,15.954217144950157,28.422621287719085
0.0425,0.003,0.01,0.85,0.25,211,155,118,68.74122212297893,16.087241611549562,27.656916220300754
0.0425,0.02,0.01,0.6,0.25,195,129,107,60.48691698307043,23.01781896542787,22.52103482724459
0.0425,0.02,0.01,0.65,0.25,196,129,107,60.5496542870459,23.344734203459396,22.583060538126176
0.0425,0.02,0.01,0.75,0.25,197,129,105,60.627272788762,23.282173514021785,24.0204276943931
0.0425,0.02,0.01,0.8,0.25,199,130,108,61.06337946432532,23.96334309875192,22.985825589313215
