Cm,Ch,Bm,Bh,T,sR,sG,sB,L,A,B
0.002,0.003,0,0.85,0.25,253.07907875756956,214.72391145622115,192.66315921819867,88.53814613094735,10.110318151064668,15.84945153893278
0.002,0.02,0,0.6,0.01,225.97592783818433,157.1571730431318,132.61758862371858,70.87980304944483,22.709750772571535,23.142434223232588
0.002,0.02,0,0.6,0.09333333,230.24217099808644,169.9222450651521,149.72768180757834,74.68239530324527,19.51075117531659,19.09732094059773
0.002,0.02,0,0.6,0.17666667,234.10636175516055,171.58076023519914,158.55706894031218,75.66338980579174,21.196242790594233,15.723698769299688
0.002,0.02,0,0.6,0.25,234.00529592848582,178.8345964932866,167.30783755764992,77.55879135829028,18.431751272964704,13.636022380919432
0.002,0.02,0,0.65,0.01,227.39522330063025,152.43113342855227,131.10754066056555,69.91699733316645,25.629006909676733,22.691587956603687
0.002,0.02,0,0.65,0.09333333,230.8587667559348,164.7769836206679,149.440077374893,73.53069042805488,22.461533868997574,17.669411493859123
0.002,0.02,0,0.65,0.17666667,236.22349752119965,171.86549332854463,157.64304046087844,75.93341433508746,21.732891357403584,16.63077317020283
0.002,0.02,0,0.65,0.25,237.39574859498,179.45719084317207,165.83233784249023,78.01708618049295,19.18195917693144,15.12795736257968
0.002,0.02,0,0.75,0.01,228.8813704018442,156.00886682150875,129.07712386104123,70.87325810937794,24.082425301271083,25.122268727107055
0.002,0.02,0,0.75,0.09333333,232.89924134422517,163.20139393620482,149.83609678976146,73.3942080703533,24.129480367178104,17.297316654007687
0.002,0.02,0,0.75,0.17666667,234.34063744543414,173.11087555967592,161.3449854344141,76.10782623681106,20.82505877604651,14.834437948784384
0.002,0.02,0,0.75,0.25,237.9675940417521,177.30624383852017,163.95228949456384,77.5271885470204,20.297095169887534,15.465969763272437
0.002,0.02,0,0.8,0.01,230.92821452277548,157.95287962080388,133.56317710914075,71.63741942567174,24.319068847791115,23.74533787549751
0.002,0.02,0,0.8,0.09333333,234.63919215229353,164.03890000594674,147.85578052283708,73.73782791517667,24.112774683913596,18.88488354868667
0.002,0.02,0,0.8,0.17666667,240.1875352557739,175.30667617625133,161.0911541569104,77.22790824569907,21.835012028387503,16.6298782340045
0.002,0.02,0,0.8,0.25,237.14884444945216,176.57453686775335,166.3298539742582,77.3223565748005,20.685514038200626,13.878583252270872
0.002,0.02,0,0.85,0.01,230.66943793231118,156.02530736671574,131.70440871227143,71.12882568310027,25.04829524133928,24.067623055407484
0.002,0.02,0,0.85,0.09333333,236.32475661341252,166.5079824157125,147.0943455401885,74.47877138155378,23.356365899528832,20.35000685997279
0.002,0.02,0,0.85,0.17666667,241.0416476936927,172.7477647209343,163.79898908965865,76.7814141566882,23.85262587673831,14.549742445003066
0.002,0.02,0,0.85,0.25,237.86527983346065,181.51565114331714,161.6166945859028,78.4641590883293,17.727382128599977,18.032529005457796
0.002,0.07,0,0.6,0.01,190.7098301501808,101.45657009830674,103.69436895033125,53.41393547173915,35.829757660220565,14.927816884140444
0.002,0.07,0,0.6,0.09333333,204.2808666134313,125.25115186800913,128.64258712180586,60.94196512520634,31.060231409951122,11.23680123039874
0.002,0.07,0,0.6,0.17666667,206.6129033937855,146.39055810430332,140.82431227638014,66.37009217443395,21.999832634745086,12.030195121205933
0.002,0.07,0,0.6,0.25,208.95047010322986,156.60712842476454,155.94801703153712,69.41677720912428,19.39271970348444,7.95410775001042
0.002,0.07,0,0.65,0.01,190.4916899124732,103.7596284315447,102.66819442528215,53.850841749504326,34.42102035705646,16.125964378226797
0.002,0.07,0,0.65,0.09333333,205.25088407825984,127.80862991748958,125.51917409779526,61.564222206574954,29.680280406917724,13.910550824693857
0.002,0.07,0,0.65,0.17666667,211.36367614779033,145.15081409706687,147.80200520166005,66.77107978211968,25.407633013629415,8.761054493129205
0.002,0.07,0,0.65,0.25,214.77796944376462,152.82472495698406,155.5729438684812,69.12814719592662,23.588055803925144,7.8331861039809825
0.002,0.07,0,0.75,0.01,203.07975712825322,96.79048093189313,104.54997244390151,54.26803298574558,42.88514164162155,15.882531232905173
0.002,0.07,0,0.75,0.09333333,208.4480350565583,128.57320081127614,124.56872178560805,62.11004367347442,30.38410095723959,15.270868840277574
0.002,0.07,0,0.75,0.17666667,207.06795091531933,144.18457905110927,143.859189790451,65.97019017709927,23.77811099444427,9.769352933674336
0.002,0.07,0,0.75,0.25,220.15008083260517,146.46622054138845,154.7334341461688,68.23869311958845,28.908784557306443,7.108812079905102
0.002,0.07,0,0.8,0.01,203.66056435363686,97.54434095475389,101.55725451871619,54.43749262475876,42.440547671005916,17.88437393010296
0.002,0.07,0,0.8,0.09333333,206.77148628508743,123.31670501279555,119.30967563614938,60.61805776793118,31.975886098377813,16.16765044756885
0.002,0.07,0,0.8,0.17666667,210.98570460802875,141.87333738271556,140.882793058999,65.80547444078758,26.137587922618224,11.271005517673904
0.002,0.07,0,0.8,0.25,218.06415227493537,150.14364759143768,151.0201595880888,68.75637134507951,25.658856150639785,9.888881134499773
0.002,0.07,0,0.85,0.01,204.84039695046127,100.45116439457858,99.01721271614602,55.131565872245915,41.18234281712968,20.336076416941996
0.002,0.07,0,0.85,0.09333333,208.85111584707514,124.12199309610861,128.18533146238673,61.25652778228961,33.33586913607467,12.023983715136243
0.002,0.07,0,0.85,0.17666667,214.50815851557545,140.60339202379282,143.4806096716845,65.98295068081481,28.488395842139415,10.118438859790245
0.002,0.07,0,0.85,0.25,221.84355155322822,148.93631625834726,154.90687225807702,68.99770138369425,28.23490777007559,8.12342878391792
0.002,0.16,0,0.6,0.01,168.03203273587837,76.03141019451292,89.15482426180046,44.553445066716385,39.09622059103729,10.839409148189215
0.002,0.16,0,0.6,0.09333333,176.53684243684694,116.82535102047854,128.0735464775824,55.61823678594692,25.049754293152372,3.5118490882900977
0.002,0.16,0,0.6,0.17666667,184.85114523815147,127.83441067017728,141.05365296603162,59.538719759289904,23.968893245462585,1.7996025332340349
0.002,0.16,0,0.6,0.25,197.71075638984814,146.20017438977013,154.05941507500708,65.68594011540972,20.587605510113573,3.4916602119479556
0.002,0.16,0,0.65,0.01,168.48320833450413,74.58836833469769,91.8814359271208,44.41074019364714,40.26907021300546,8.97824345272581
0.002,0.16,0,0.65,0.09333333,182.43399142940342,112.48199423090401,125.14655071144018,55.25346923131073,29.29412189784508,4.7872708794959085
0.002,0.16,0,0.65,0.17666667,188.83803084137853,130.16257142710708,139.963505010227,60.51388880281257,24.019659226567903,3.894340624249426
0.002,0.16,0,0.65,0.25,194.39492914498075,147.90726238962068,149.41918486426087,65.63493080308965,17.699165843691635,5.9827382533803375
0.002,0.16,0,0.75,0.01,181.52219396278514,70.79009972449934,88.33060026646389,45.738221591994915,46.33588280208134,13.31992027219433
0.002,0.16,0,0.75,0.09333333,193.66987666603904,116.66540208577744,128.3588254681333,57.69103871203643,31.663406288369888,6.600041647920274
0.002,0.16,0,0.75,0.17666667,197.3198097629931,131.79351560504537,137.23330082509398,61.80193368035572,25.955477800552686,7.432637436265499
0.002,0.16,0,0.75,0.25,198.62869270763116,147.3808579876351,157.59551127320086,66.15965681671017,20.818864541582215,2.20199882540435
0.002,0.16,0,0.8,0.01,181.9457665954502,75.16081891993639,90.52825717406174,46.62998079588458,44.63183594133924,13.222064177272896
0.002,0.16,0,0.8,0.09333333,195.112029326037,118.83367713257783,127.92434545459292,58.34554145882902,30.97483331036399,7.810592182474618
0.002,0.16,0,0.8,0.17666667,195.52966228641495,127.03319174323315,143.18917278962317,60.64692877250846,28.71588157747246,2.3357158006936496
0.002,0.16,0,0.8,0.25,203.95785183368213,138.81451110938332,153.37320128013332,64.60672723035913,26.86337232069036,2.400970896457233
0.002,0.16,0,0.85,0.01,184.03168175468326,73.72510848736725,89.68634888269263,46.6940419880012,45.9586963083739,13.875632086480072
0.002,0.16,0,0.85,0.09333333,195.91448264648903,115.13351975209041,122.70919215549712,57.49948847060389,32.632185261163016,9.643345581315721
0.002,0.16,0,0.85,0.17666667,193.98599622661345,127.46172338222401,143.08571987446692,60.56050946862196,27.892421906044184,2.247022186196168
0.002,0.16,0,0.85,0.25,197.8451018166991,139.40456950424607,151.23564013311307,64.00501687772068,23.955856503693028,2.6530906243843244
0.002,0.32,0,0.6,0.01,138.1301741986384,64.88016803500007,70.91520293725863,37.17842741484457,31.791696353811794,11.209840432415207
0.002,0.32,0,0.6,0.09333333,159.4554532357388,112.2443503112728,121.80705660380785,52.352610053179106,20.128461898859307,2.206284878135656
0.002,0.32,0,0.6,0.17666667,170.10663831242374,124.02193622720587,142.3569887265781,57.01821776276846,20.785170923455055,-2.833424632892023
0.002,0.32,0,0.6,0.25,179.54096868155958,140.0919648331546,147.28480937289717,62.12206627864647,16.08594067267749,1.920457930595898
0.002,0.32,0,0.65,0.01,138.40851994328088,65.43959707077576,66.7706062673864,37.24617073488399,31.177686968259927,13.916389003262841
0.002,0.32,0,0.65,0.09333333,160.1806533382024,109.78348397060532,122.42048601527273,51.85084593167734,21.911472406970944,1.1260088817674152
0.002,0.32,0,0.65,0.17666667,169.4488327983406,121.41305499551643,144.03149648496498,56.360669046780885,22.29965938459638,-4.782459309455267
0.002,0.32,0,0.65,0.25,179.02817500897962,142.80035903805506,148.15991786027593,62.771696611240586,14.518707030716616,2.3603612674043317
0.002,0.32,0,0.75,0.01,144.99749661899648,66.94115765292355,67.62461588766969,38.619179537412656,33.03329523108556,15.415202117638117
0.002,0.32,0,0.75,0.09333333,168.80373885868954,107.92335478353365,114.75850327983889,52.23461936690346,25.193104475618068,6.33549042215884
0.002,0.32,0,0.75,0.17666667,180.7950843350926,119.65749520839707,144.57251674137552,57.250090038710354,27.55232897232934,-3.637369132559809
0.002,0.32,0,0.75,0.25,190.2196375277131,142.159147816305,148.53091146621884,63.772247834137346,19.16382970886782,3.7435948153470067
0.002,0.32,0,0.8,0.01,151.16184029083482,66.43166940591858,70.40113962904827,39.5611973508784,35.92055694764351,15.126571410543765
0.002,0.32,0,0.8,0.09333333,173.68950773880107,110.14771564839354,114.06339497558889,53.343561364297585,25.757845453161675,8.406474334408799
0.002,0.32,0,0.8,0.17666667,176.4604636846847,118.01177568999205,142.12475286764425,56.286622730502884,26.489815019021368,-3.695021001283627
0.002,0.32,0,0.8,0.25,185.22911770919498,139.90879199257512,147.80070190745224,62.67838228462149,18.41772000658748,2.5078295406900653
0.002,0.32,0,0.85,0.01,157.0718647769013,64.52667476410666,72.85040138300609,40.213660783747905,39.29804403129886,14.649140553373908
0.002,0.32,0,0.85,0.09333333,176.01163778703938,109.26465968505191,119.40789871342527,53.5634443627749,27.855693835095675,5.618968656815793
0.002,0.32,0,0.85,0.17666667,176.74738167960516,121.15433417728005,143.9404821906749,57.11476080260029,25.12704128742882,-3.5237890785142945
0.002,0.32,0,0.85,0.25,190.33314027767776,139.80076654077058,142.91193098311746,63.066801487382094,19.673835918109674,5.911321710595607
0.0135,0.003,0,0.6,0.01,247.31608392349068,199.91629098640692,167.71384041485643,83.92148478662757,12.388870961936915,22.473509986411756
0.0135,0.003,0,0.6,0.09333333,243.0033968512418,195.91291287136275,164.90253421179222,82.4894044226465,12.496634356705616,21.924533866899655
0.0135,0.003,0,0.6,0.17666667,239.70716457135632,194.65102840202522,160.56631119876215,81.78554616467684,11.362582534420905,23.20465519412762
0.0135,0.003,0,0.6,0.25,239.99137172698565,192.49396897666477,160.2394737878756,81.28281350218165,12.565798353063485,22.693432626194586
0.0135,0.003,0,0.65,0.01,246.7635537517835,199.6902422577577,165.84012598626916,83.7783725926619,12.0655572796034,23.25684640840524
0.0135,0.003,0,0.65,0.09333333,244.06288424344052,195.86245043869346,165.07998218366996,82.5819822230671,12.948673826027102,21.97399424302866
0.0135,0.003,0,0.65,0.17666667,240.88524020631448,194.40330451922597,161.73386334157416,81.8600913798287,12.087886343175647,22.70641826189641
0.0135,0.003,0,0.65,0.25,241.5248780877086,191.59111490767157,162.25488289275745,81.25210667012945,13.87626167541528,21.60423015005728
